Name,Tm,R,HR,RBI,SB,OBP
CJ Abrams,Washington,92,19,60,31,0.315
Wilyer Abreu,Boston,53,22,69,6,0.314
Maximo Acosta,Miami,7,3,5,1,0.295
Luisangel Acu\xc3\xb1a,New York,30,0,8,16,0.293
Ronald Acu\xc3\xb1a Jr.,Atlanta,74,21,42,9,0.417
Willy Adames,San Francisco,94,30,87,12,0.318
Jordyn Adams,Baltimore,1,0,0,0,0.0
Riley Adams,Washington,29,8,24,1,0.252
Jo Adell,Los Angeles,63,37,98,5,0.293
Nick Ahmed,Texas,1,0,0,1,0.1
Ozzie Albies,Atlanta,74,16,74,14,0.306
Kevin Alc\xc3\xa1ntara,Chicago,2,0,1,1,0.417
Sergio Alc\xc3\xa1ntara,San Francisco,0,0,0,0,0.0
Blaze Alexander,Arizona,31,7,28,4,0.323
CJ Alexander,Athletics,0,0,0,0,0.176
Tyler Alexander,Chicago,0,0,0,0,0.0
Jorge Alfaro,Washington,3,0,3,1,0.256
Greg Allen,Baltimore,1,0,0,0,0.0
Nick Allen,Atlanta,32,0,22,8,0.284
Pete Alonso,New York,87,38,126,1,0.347
Jose Altuve,Houston,80,26,77,10,0.329
Francisco Alvarez,New York,32,11,32,0,0.339
Nacho Alvarez Jr.,Atlanta,18,2,15,0,0.296
Yordan Alvarez,Houston,17,6,27,1,0.367
Adael Amador,Colorado,5,1,10,1,0.256
Jacob Amaya,Chicago,7,0,8,2,0.139
Miguel Amaya,Chicago,14,4,25,0,0.314
Tim Anderson,Los Angeles,8,0,3,1,0.258
Miguel Andujar,"Athletics,Cincinnati",37,10,44,1,0.35
Roman Anthony,Boston,48,8,32,4,0.396
Jonathan Aranda,Tampa Bay,56,14,59,0,0.393
Orlando Arcia,"Atlanta,Colorado",13,3,13,0,0.238
Nolan Arenado,St. Louis,48,12,52,3,0.289
Gabriel Arias,Cleveland,44,11,55,8,0.273
Randy Arozarena,Seattle,105,28,78,36,0.332
Luis Arraez,San Diego,66,8,61,12,0.325
Drew Avans,"Athletics,Milwaukee",1,0,1,1,0.111
Jos\xc3\xa9 Az\xc3\xb3car,"Atlanta,New York",5,0,1,1,0.333
Akil Baddoo,Detroit,0,0,1,1,0.167
Harrison Bader,"Minnesota,Philadelphia",61,17,55,11,0.349
Jihwan Bae,Pittsburgh,4,0,0,4,0.24
Javier B\xc3\xa1ez,Detroit,58,13,62,6,0.286
Patrick Bailey,San Francisco,47,6,55,1,0.277
Luken Baker,St. Louis,3,0,2,0,0.366
